date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month
2006-01-15,Arusha,Arusha Urban,Arusha (urban),-3.366667,36.683333,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,38464.29,32.7411,2006,1
2006-01-15,Arusha,Arusha Urban,Arusha (urban),-3.366667,36.683333,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,63227.27,53.8196,2006,1
2006-01-15,Arusha,Arusha Urban,Arusha (urban),-3.366667,36.683333,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,80714.29,68.7047,2006,1
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,-6.8,39.283333,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,38742.86,32.9783,2006,1
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,-6.8,39.283333,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,64545.45,54.9416,2006,1
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,-6.8,39.283333,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,80000.0,68.0967,2006,1
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),-7.29067,36.340375,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,36107.14,30.7347,2006,1
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),-7.29067,36.340375,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,60500.0,51.4981,2006,1
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),-7.29067,36.340375,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,76428.57,65.0566,2006,1
2006-01-15,Iringa,Iringa Urban,Iringa Urban,-7.766667,35.7,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,24444.44,20.8073,2006,1
2006-01-15,Iringa,Iringa Urban,Iringa Urban,-7.766667,35.7,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,58708.33,49.973,2006,1
2006-01-15,Kagera,Bukoba Urban,Bukoba,-1.331667,31.812222,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,27693.75,23.5732,2006,1
2006-01-15,Kagera,Bukoba Urban,Bukoba,-1.331667,31.812222,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,59045.45,50.26,2006,1
2006-01-15,Kagera,Bukoba Urban,Bukoba,-1.331667,31.812222,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,51625.0,43.9436,2006,1
2006-01-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,-4.876944,29.626667,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,31210.0,26.5662,2006,1
2006-01-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,-4.876944,29.626667,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,59807.69,50.9088,2006,1
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,-3.35,37.333333,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,29050.0,24.7276,2006,1
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,-3.35,37.333333,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,61850.0,52.6472,2006,1
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,-3.35,37.333333,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,65500.0,55.7542,2006,1
2006-01-15,Lindi,Lindi Urban,Lindi,-10.0,39.716667,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,37250.0,31.7075,2006,1
2006-01-15,Lindi,Lindi Urban,Lindi,-10.0,39.716667,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,65916.67,56.1088,2006,1
2006-01-15,Manyara,Babati Urban,Babati,-4.216667,35.75,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,36562.5,31.1223,2006,1
2006-01-15,Manyara,Babati Urban,Babati,-4.216667,35.75,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,69772.73,59.3911,2006,1
2006-01-15,Manyara,Babati Urban,Babati,-4.216667,35.75,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,55281.25,47.0559,2006,1
2006-01-15,Mara,Musoma Municipal,Musoma,-1.5,33.8,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,31605.0,26.9024,2006,1
2006-01-15,Mara,Musoma Municipal,Musoma,-1.5,33.8,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,60500.0,51.4981,2006,1
2006-01-15,Mara,Musoma Municipal,Musoma,-1.5,33.8,pulses and nuts,Beans,100 KG,actual,Wholesale,TZS,59000.0,50.2213,2006,1
2006-01-15,Mbeya,Mbeya Urban,Mwanjelwa,-8.9,33.45,cereals and tubers,Maize,100 KG,actual,Wholesale,TZS,22950.0,19.5352,2006,1
2006-01-15,Mbeya,Mbeya Urban,Mwanjelwa,-8.9,33.45,cereals and tubers,Rice,100 KG,actual,Wholesale,TZS,58681.82,49.9505,2006,1
